Nome do Advogado Principal,Inscrição OAB,CPF do autor,CNPJ do Réu,Ação,Classe,Comarca,UF,Juizado Especial
Paula Santos,62874/RJ,441.838.940-42,66.272.945/8060-36,Ação Revisional,Apelação Cível,São Paulo,RS,Juizado especial cívil
José Oliveira,19475/SC,190.201.933-79,76.330.343/6938-86,Ação de Indenização,Apelação Cível,São Paulo,MG,Juizado especial cívil
Maria Almeida,99075/SP,144.233.931-59,50.597.298/3400-18,Ação Revisional,Embargos de Declaração Cível,Rio de Janeiro,BA,Juizado especial cívil
Ana Almeida,60659/PE,399.456.442-86,14.368.387/4451-94,Ação de Cobrança,Embargos de Declaração Cível,Curitiba,SP,Juizado especial cívil
Ana Oliveira,23059/BA,157.822.563-76,90.518.531/4285-25,Ação Revisional,Apelação Cível,Porto Alegre,BA,Juizado especial cívil
Maria Almeida,99075/SP,933.697.675-27,70.276.176/9289-31,Ação de Indenização,Apelação Cível,Curitiba,PR,Juizado especial cívil
Ana Oliveira,23059/BA,231.593.689-13,10.587.296/7328-98,Ação de Obrigação de Fazer,Apelação Cível,Recife,SP,Juizado especial cívil
Maria Pereira,52452/SC,516.782.215-75,95.598.802/3533-58,Ação de Execução,Apelação Cível,Belo Horizonte,RJ,Juizado especial cívil
Paula Oliveira,60301/RS,874.843.592-32,73.769.817/3457-67,Ação Revisional,Apelação Cível,Salvador,RS,Juizado especial cívil
José Pereira,60199/MG,891.445.451-93,74.428.877/4330-62,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Rio de Janeiro,PR,Juizado especial cívil
João Oliveira,38390/PE,201.827.577-37,86.651.801/9429-88,Ação de Obrigação de Fazer,Apelação Cível,São Paulo,SP,Juizado especial cívil
José Silva,61446/SP,913.777.818-39,60.118.846/5329-71,Ação Revisional,Embargos de Declaração Cível,Recife,PE,Juizado especial cívil
Ana Oliveira,23059/BA,497.249.851-36,57.649.841/1383-96,Ação de Cobrança,Apelação Cível,Belo Horizonte,PR,Juizado especial cívil
Carlos Pereira,94253/BA,813.315.883-63,72.868.319/6474-47,Ação de Cobrança,Embargos de Declaração Cível,Curitiba,RJ,Juizado especial cívil
Ana Santos,63208/PR,463.483.147-75,33.957.681/6014-68,Ação de Indenização,Apelação Cível,Recife,MG,Juizado especial cívil
José Almeida,58357/MG,159.218.179-40,56.956.298/6448-44,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Porto Alegre,PE,Juizado especial cívil
Ana Oliveira,23059/BA,503.184.809-33,82.639.941/7015-81,Ação de Indenização,Embargos de Declaração Cível,São Paulo,SC,Juizado especial cívil
Paula Santos,62874/RJ,965.558.851-55,21.124.993/1472-21,Ação de Execução,Apelação Cível,Porto Alegre,PE,Juizado especial cívil
Carlos Santos,82014/SP,172.104.557-23,39.598.161/4679-97,Ação de Execução,Apelação Cível,Porto Alegre,SC,Juizado especial cívil
Ana Santos,63208/PR,842.128.502-78,55.599.465/4320-26,Ação de Indenização,Embargos de Declaração Cível,São Paulo,RJ,Juizado especial cívil
Maria Santos,88723/PE,951.351.909-58,77.255.147/1565-94,Ação Revisional,Embargos de Declaração Cível,Rio de Janeiro,RS,Juizado especial cívil
Maria Almeida,99075/SP,333.552.418-24,93.883.374/9100-71,Ação de Cobrança,Embargos de Declaração Cível,Salvador,PE,Juizado especial cívil
Paula Pereira,45596/SC,997.547.970-20,87.120.471/3385-16,Ação de Cobrança,Apelação Cível,Rio de Janeiro,PR,Juizado especial cívil
João Silva,61916/SP,954.944.803-81,57.533.748/7918-28,Ação de Indenização,Apelação Cível,Rio de Janeiro,PR,Juizado especial cívil
José Silva,61446/SP,733.594.511-11,76.914.703/6126-44,Ação de Cobrança,Apelação Cível,Rio de Janeiro,SP,Juizado especial cívil
João Pereira,22605/BA,457.185.552-39,33.729.281/7412-75,Ação de Execução,Embargos de Declaração Cível,Florianópolis,PR,Juizado especial cívil
João Pereira,22605/BA,403.470.984-38,61.510.462/4498-70,Ação de Execução,Embargos de Declaração Cível,Belo Horizonte,PR,Juizado especial cívil
Paula Santos,62874/RJ,786.991.955-86,77.523.175/6418-60,Ação de Obrigação de Fazer,Apelação Cível,Belo Horizonte,PE,Juizado especial cívil
Paula Almeida,24717/SP,315.951.287-78,55.223.601/7255-35,Ação de Execução,Embargos de Declaração Cível,Porto Alegre,SC,Juizado especial cívil
Maria Almeida,99075/SP,787.271.577-83,77.575.682/3847-52,Ação Revisional,Embargos de Declaração Cível,Rio de Janeiro,BA,Juizado especial cívil
Ana Silva,61124/RJ,758.389.247-38,53.928.350/4042-76,Ação de Obrigação de Fazer,Apelação Cível,Porto Alegre,SP,Juizado especial cívil
